"(%)_2010_net_profit_margin","(%)_2010_return_on_assets","(%)_2011_net_profit_margin","(%)_2011_return_on_assets","(%)_2012_net_profit_margin","(%)_2012_return_on_assets","(%)_2013_net_profit_margin","(%)_2013_return_on_assets","(%)_2014_net_profit_margin","(%)_2014_return_on_assets","(%)_2015_net_profit_margin","(%)_2015_return_on_assets","(%)_2016_net_profit_margin","(%)_2016_return_on_assets","(%)_2017_net_profit_margin","(%)_2017_return_on_assets","(%)_2018_net_profit_margin","(%)_2018_return_on_assets","(%)_2019_net_profit_margin","(%)_2019_return_on_assets","(%)_2020_net_profit_margin","(%)_2020_return_on_assets","(%)_2021_net_profit_margin","(%)_2021_return_on_assets","(%)_2022_net_profit_margin","(%)_2022_return_on_assets","(%)_2023_net_profit_margin","(%)_2023_return_on_assets","(%)_2024_net_profit_margin","(%)_2024_return_on_assets","Bank","Cluster"
3.14,0.35,2.43,0.23,-7.62,-0.73,-0.29,0.02,-18.52,-1.84,-17.37,-1.77,-9.39,-1.61,0.42,0.1,-2.62,-0.2,0.85,0.1,5.88,0.55,3.22,0.29,-1.04,0.27,2.13,0.34,-0.38,0.36,"4","1"
5.21,0.53,7.34,0.73,7.43,0.83,5.87,0.72,3.37,0.41,2.55,0.29,-13.96,-1.09,-19.38,1.37,-36.33,-2.46,-62.84,-4.68,-59.71,-4.26,-8.57,0.46,4.54,0.84,-10.41,1.2,14.51,1.65,"17","1"
-1.36,0.02,1.24,0.14,0.82,0.24,1.98,0.25,-0.13,0.18,-5.06,-34,-16.17,-0.92,-1.39,0.01,-12.8,-0.59,-22.57,-1.13,-2.81,0.07,6.5,0.99,16.47,1.9,17.85,2.06,14.36,1.79,"19","1"
8.5,0.7,10.2,0.82,8.09,0.72,7.38,0.65,5.65,0.51,3.53,0.27,-14.85,-0.94,-3.53,-0.24,-15.91,-0.91,-14.67,-0.43,-6.2,-0.43,4.28,0.28,2.51,0.43,7,0.49,8.42,0.7,"23","1"
7.99,0.7,5.01,0.47,5.39,0.55,7.17,0.74,2.8,0.3,2.81,0.33,-2.26,0.07,-10.48,-0.86,-11.39,-0.73,-40.08,-3.01,2.57,0.23,3.39,0.3,6.26,0.55,13.26,1.1,17.05,1.5,"24","1"
7.3,0.66,7.6,0.7,2.6,0.26,4.26,0.44,-4.84,-0.47,2.14,0.21,-13.31,-0.48,-13.95,-0.8,-33.48,-1.61,-35.45,-1.7,-4.82,-0.35,-5.03,-0.26,3.12,0.3,4.6,0.44,7.08,0.63,"25","1"
9.63,0.87,7.36,0.66,7.09,0.69,3.46,0.33,7.61,0.7,5.17,0.48,-16.37,-1.25,-10.79,-0.75,-31.38,-1.88,-31.4,-1.84,-20.56,-0.96,-4.63,0.06,-3.63,0.34,1.12,0.62,0.69,0.56,"33","1"
