"Cluster","(%)_2010_net_profit_margin","(%)_2010_return_on_assets","(%)_2011_net_profit_margin","(%)_2011_return_on_assets","(%)_2012_net_profit_margin","(%)_2012_return_on_assets","(%)_2013_net_profit_margin","(%)_2013_return_on_assets","(%)_2014_net_profit_margin","(%)_2014_return_on_assets","(%)_2015_net_profit_margin","(%)_2015_return_on_assets","(%)_2016_net_profit_margin","(%)_2016_return_on_assets","(%)_2017_net_profit_margin","(%)_2017_return_on_assets","(%)_2018_net_profit_margin","(%)_2018_return_on_assets","(%)_2019_net_profit_margin","(%)_2019_return_on_assets","(%)_2020_net_profit_margin","(%)_2020_return_on_assets","(%)_2021_net_profit_margin","(%)_2021_return_on_assets","(%)_2022_net_profit_margin","(%)_2022_return_on_assets","(%)_2023_net_profit_margin","(%)_2023_return_on_assets","(%)_2024_net_profit_margin","(%)_2024_return_on_assets"
1,5.77285714285714,0.547142857142857,5.88285714285714,0.535714285714286,3.4,0.365714285714286,4.26142857142857,0.45,-0.58,-0.03,-0.89,-4.88428571428571,-12.33,-0.888571428571429,-8.44285714285714,-0.167142857142857,-20.5585714285714,-1.19714285714286,-29.4514285714286,-1.81285714285714,-12.2357142857143,-0.735714285714286,-0.12,0.302857142857143,4.03285714285714,0.661428571428571,5.07857142857143,0.892857142857143,8.81857142857143,1.02714285714286
2,13.3342857142857,1.46428571428571,15.2457142857143,1.81571428571429,13.3,1.68714285714286,14.5185714285714,1.76,14.1042857142857,1.68571428571429,14.55,1.78,13.2471428571429,1.56142857142857,12.2414285714286,1.40428571428571,11.1142857142857,1.23714285714286,10.8771428571429,1.18857142857143,11.09,1.20285714285714,14.0614285714286,1.33285714285714,17.4428571428571,1.64285714285714,18.1685714285714,1.81857142857143,18.9257142857143,2.01
3,11.35,1.124,11.864,1.15933333333333,11.5026666666667,1.208,10.526,1.12666666666667,8.84133333333333,0.956666666666667,7.584,0.867333333333333,2.756,0.498,4.026,0.497333333333333,-1.24266666666667,0.24,0.752,0.278666666666667,-3.25,-0.266,2.48333333333333,0.272666666666667,5.286,0.486666666666667,8.56666666666667,0.82,9.40466666666667,1.01
